instance	numCrates	adjNumCrates	numCratesLB	avFillRate	avWeight	runTime
98	2	2.1936930174660323	2.0	0.4918034937621932	8579.0	69
99	2	2.5393707922668693	2.0	0.6707669184584513	8945.5	614
100	2	2.0694644624914926	2.0	0.39831280804474606	9241.5	160
101	1	1.440652045218613	1.0	0.440652045218613	9919.0	52
102	1	1.608541797192533	1.0	0.6085417971925331	11423.0	336
103	1	1.4145274660132794	1.0	0.41452746601327944	7120.0	51
104	2	2.3417642935802876	2.0	0.5600462033950198	7883.5	257
105	1	1.2864508222950217	1.0	0.2864508222950217	3028.0	6
106	2	2.144170413295714	1.0	0.47936603143945467	6061.5	2342
107	2	2.4157284007863224	2.0	0.6047728695610503	13078.0	161
108	1	1.3994878340952548	1.0	0.3994878340952548	3867.0	5
109	2	2.5852838046021773	2.0	0.6844059760843016	11208.0	391
110	1	1.693213962339263	1.0	0.6932139623392631	11291.0	25
111	2	2.0103595030563524	1.0	0.42023565298510734	6668.0	3958
112	1	1.562336124482859	1.0	0.5623361244828591	3948.0	12
113	2	2.273982360612838	2.0	0.5336980233728793	8481.0	170
114	1	1.6158346413536968	1.0	0.6158346413536967	7519.0	40
115	2	2.1346743141471443	1.0	0.49357194913745367	7998.5	1075
116	2	2.5251165533777877	2.0	0.6684469774178208	12810.0	503
117	1	1.6909227429681848	1.0	0.6909227429681848	12084.0	92
118	2	2.3017011177512603	2.0	0.547342274131686	6599.0	536
119	2	2.7713436910370146	2.0	0.7840934701978969	9199.5	1282
120	1	1.438420615207229	1.0	0.4384206152072289	10687.0	87
121	1	1.3114714507629612	1.0	0.3114714507629612	4676.0	13
122	1	1.2070608705563095	1.0	0.2070608705563096	2679.0	4
123	2	2.519755577453266	2.0	0.6686154809161133	9310.0	121
124	6	6.233770428856891	5.0	0.7628963959573768	12377.833333333334	502140
125	1	1.8433450445314568	1.0	0.8433450445314568	14833.0	1681
126	3	3.095645892836558	2.0	0.6288099269985964	9188.333333333334	7609
127	2	2.7393299168440475	2.0	0.7762054542792133	11585.0	1916
128	2	2.5688786520394333	2.0	0.6711295380778843	13769.0	271
129	1	1.782795915819588	1.0	0.7827959158195881	13669.0	4656
130	3	3.6206483567276	3.0	0.7400632646589331	12461.666666666666	1920
131	1	1.5985757422883171	1.0	0.5985757422883171	5669.0	86
132	1	1.2292423585724834	1.0	0.22924235857248337	3851.0	5
133	1	1.6016210136754094	1.0	0.6016210136754095	5860.0	54
134	1	1.330890579253666	1.0	0.33089057925366616	5584.0	38
135	2	2.3901449095919967	2.0	0.5938313711832096	5438.0	415
136	2	2.348519944580161	2.0	0.5618055821760561	7505.0	331
137	1	1.5494704336833163	1.0	0.5494704336833164	9571.0	64
138	2	2.799226168524954	2.0	0.8392052292662288	16269.0	2729
139	2	2.853244180906613	2.0	0.8746996097155592	14258.5	23261
140	1	1.5020435319836518	1.0	0.5020435319836517	8970.0	64
141	2	2.0957231065239346	1.0	0.4929769368182262	8000.5	10434
142	2	2.641965916967316	2.0	0.738063361825184	15554.0	354
143	1	1.6525346713941487	1.0	0.6525346713941487	7185.0	34
144	2	2.5914701014594685	2.0	0.7073528817890562	12179.0	975
145	3	3.8106844064088454	3.0	0.8236775339579078	15181.666666666666	11661
146	1	1.473968635253542	1.0	0.47396863525354205	5713.0	21
147	1	1.222752422875541	1.0	0.22275242287554112	2292.0	6
148	2	2.3111979002067984	2.0	0.5680234136499176	9896.0	70
149	2	2.2084513546822575	2.0	0.4973183731927926	9664.0	548
150	4	4.249506669451826	3.0	0.7016397807012839	10614.0	14315
151	1	1.6770604034021126	1.0	0.6770604034021125	10096.0	141
152	3	3.161063014272483	3.0	0.5762502511248011	11586.666666666666	529
153	1	1.5188550927540239	1.0	0.5188550927540239	9751.0	17
154	2	2.7721738178954585	2.0	0.8054450249592675	12393.5	2393
155	2	2.592217684836186	2.0	0.7035650265545615	13730.0	372
156	1	1.4656817388923271	1.0	0.46568173889232706	6314.0	26
157	2	2.5622638306056515	2.0	0.6912232499842327	10807.0	353
158	3	3.4892323690801503	3.0	0.6866612079550688	10089.0	634
159	2	2.284384684239181	2.0	0.5422859733957165	6622.5	305
160	1	1.5216572435219253	1.0	0.5216572435219253	6410.0	31
161	4	4.7159211411827675	4.0	0.7939312456073326	12212.0	18189
162	3	3.192890723978082	2.0	0.6563762307601732	9559.666666666666	25156
163	2	2.2970783183441976	2.0	0.5282512013162861	7876.0	104
164	2	2.3230963699932303	2.0	0.5713929369701937	9097.0	133
165	1	1.7455588748330368	1.0	0.7455588748330368	12191.0	182
166	2	2.283376282592803	2.0	0.534767717654281	7947.0	141
167	1	1.6584544785339457	1.0	0.6584544785339458	9501.0	85
168	2	2.7091242184420317	2.0	0.7569388740690997	12007.0	1413
169	2	2.8239264171325282	2.0	0.8362033250947012	10915.0	28264
170	1	1.3660092775320265	1.0	0.36600927753202644	7735.0	19
171	3	3.170944043012989	3.0	0.593186796331908	11413.0	3137
172	2	2.7886547719778454	2.0	0.8030101972404283	11651.0	1882
173	2	2.8507133257818804	2.0	0.8536238490348961	12771.0	20204
174	3	3.2035719051780385	2.0	0.6499500020495413	10196.666666666666	10685
