instance min_num_crates_GA min_num_crates_LB running_time
955 2 2.0 14
956 3 3.0 18583
957 2 2.0 41
958 2 3.0 35
959 1 1.0 689
960 1 1.0 1036
961 2 2.0 19
962 2 2.0 46
963 2 2.0 17
964 1 1.0 469
965 2 2.0 41
966 2 2.0 43
967 1 1.0 1209
968 2 2.0 30
969 1 1.0 1199
970 3 3.0 11695
971 1 1.0 680
972 2 2.0 12
973 3 3.0 14990
974 1 1.0 913
975 2 2.0 11
976 1 1.0 1489
977 1 1.0 183
978 1 1.0 309
979 1 1.0 2816
980 1 1.0 1042
981 4 4.0 40371
982 1 1.0 1661
983 1 1.0 184
984 2 2.0 67
985 2 2.0 39
986 2 2.0 20
987 3 3.0 6892
988 1 1.0 670
989 1 1.0 1191
990 2 2.0 39
991 2 2.0 24
992 1 1.0 704
993 2 2.0 26
994 1 1.0 2041
995 1 1.0 33
996 1 1.0 383
997 1 1.0 1032
998 3 3.0 7857
999 2 2.0 16
